player,position,team,age,minutes_played,touches,dribbles_completed,goals,shots,shots_on_target,passes_completed,passes,assists,tackles_won,overall_0-100,value_(€)
J. Andersen,DF,Denmark,26,270,281,0,0,4,1,198,250,1,2,77,12500000
J. Mæhle,DF,Denmark,25,251,185,0,0,2,0,119,146,0,5,77,15000000
T. Meunier,DF,Belgium,31,206,167,1,0,3,1,110,147,0,6,77,9500000
M. Guendouzi,FW,France,23,81,36,0,0,0,0,27,33,0,1,77,20000000
H. Moreno,DF,Mexico,34,270,210,0,0,1,0,165,195,0,1,77,5000000
M. Damsgaard,MF,Denmark,22,153,91,0,0,0,0,55,72,0,2,77,23000000
L. Dendoncker,DF,Belgium,27,162,142,0,0,1,0,119,122,0,3,77,13500000
M. Oric,FW,Croatia,29,162,81,1,1,9,2,40,54,2,3,77,10500000
L. Trossard,FW,Belgium,28,99,66,0,0,0,0,43,57,0,1,77,12500000
M. Braithwaite,FW,Denmark,31,99,24,1,0,1,0,14,20,0,0,77,10500000
A. Mooy,MF,Australia,32,360,255,2,0,1,0,170,217,0,6,77,10000000
J. Ito,MF,Japan,29,324,134,2,0,2,1,59,97,1,4,77,10500000
A. Disasi,DF,France,24,90,90,1,0,1,0,61,78,0,2,77,14500000
E. Skhiri,MF,Tunisia,27,270,161,1,0,2,0,109,127,0,3,77,11500000
E. Álvarez,MF,Mexico,25,171,131,1,0,1,1,86,114,0,2,77,15500000
D. Sow,MF,Switzerland,25,261,115,0,0,2,0,84,97,1,1,77,14500000
D. James,FW,Wales,25,153,49,1,0,0,0,24,36,0,1,77,16000000
G. Pezzella,DF,Argentina,31,62,47,0,0,1,0,42,45,0,0,77,8500000
B. Embolo,FW,Switzerland,25,324,92,2,2,6,3,46,62,0,0,77,16000000
B. Dia,FW,Senegal,26,315,81,1,1,8,3,39,53,0,0,77,17000000
G. Reyna,FW,United States,20,54,42,0,0,2,0,26,38,0,0,77,22000000
B. Sosa,DF,Croatia,24,423,333,2,0,2,0,220,278,0,6,77,15000000
E. Palacios,MF,Argentina,24,54,34,0,0,1,0,25,28,0,0,77,17000000
A. Hamdallah,FW,Morocco,32,72,28,2,0,2,1,8,15,0,0,77,10500000
N. Milenkovic,DF,Serbia,25,270,198,0,0,3,0,141,163,0,5,76,14000000
D. Amartey,DF,Ghana,27,251,172,1,0,1,0,128,141,0,4,76,8500000
F. Schär,DF,Switzerland,30,135,100,0,0,2,0,65,82,0,1,76,7000000
B. Petkovic,FW,Croatia,28,234,101,2,1,1,1,40,75,0,4,76,9000000
A. Djiku,DF,Ghana,28,99,43,0,0,0,0,22,28,0,1,76,8500000
J. Sánchez,DF,Mexico,25,171,113,1,0,1,1,69,87,0,0,76,10000000
N. Aguerd,DF,Morocco,26,351,185,0,0,1,0,137,158,0,2,76,9500000
M. Salisu,DF,Ghana,23,270,184,0,1,2,1,109,151,0,1,76,15500000
M. Borjan,GK,Canada,35,270,105,0,0,0,0,76,98,0,0,76,0
M. Batshuayi,FW,Belgium,29,153,42,1,1,6,2,16,24,0,0,76,8000000
F. Ðuricic,MF,Serbia,30,18,9,0,0,0,0,5,6,0,0,76,7500000
W. Saliba,DF,France,21,27,38,1,0,0,0,37,37,0,0,76,15500000
M. Viña,DF,Uruguay,25,18,26,1,0,0,0,11,21,0,3,76,11000000
M. Olivera,DF,Uruguay,25,251,178,0,0,2,0,104,133,0,5,76,16000000
M. Cáceres,DF,Uruguay,35,90,83,1,0,0,0,68,79,0,0,76,2400000
D. Lazovic,DF,Serbia,32,27,14,0,0,1,0,7,12,0,0,76,7000000
D. Núñez,FW,Uruguay,23,243,85,0,0,3,1,35,56,0,2,76,17000000
Y. Sabaly,DF,Senegal,29,360,253,4,0,2,1,189,219,0,6,76,7000000
L. Majer,MF,Croatia,24,125,122,0,1,4,2,78,98,0,1,76,16500000
K. Diatta,FW,Senegal,23,180,88,1,0,3,1,60,73,0,0,76,15000000
K. Piatek,FW,Poland,27,27,9,0,0,1,0,2,6,0,0,76,10000000
P. Gueye,MF,Senegal,23,153,81,0,0,4,2,45,62,0,2,76,14500000
P. Cissé,DF,Senegal,27,108,49,1,0,0,0,28,37,0,0,76,10000000
W. Khazri,FW,Tunisia,31,81,36,0,1,5,3,13,20,0,0,76,7500000
J. Bednarek,DF,Poland,26,9,6,0,0,0,0,6,6,0,0,76,10500000
S. Rochet,GK,Uruguay,29,270,88,0,0,0,0,54,78,0,0,76,6500000
H. Martín,FW,Mexico,30,144,35,1,1,4,2,13,20,0,1,76,7500000
S. Amrabat,MF,Morocco,26,657,383,0,0,1,0,269,322,0,10,76,9500000
R. Alvarado,FW,Mexico,24,18,12,0,0,0,0,5,10,0,0,76,15000000
A. ivkovic,DF,Serbia,26,206,118,0,0,1,0,71,96,2,3,76,9500000
S. Dest,DF,United States,22,306,250,5,0,6,0,172,200,1,2,76,15500000
R. Doan,FW,Japan,24,216,95,4,2,4,3,36,56,0,5,76,12000000
T. Kehrer,DF,Germany,26,72,43,0,0,0,0,22,29,0,2,76,10000000
